id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
5732,5200000000,0,80.0,79,761,26791,0,5,5
5526,85000000000,0,84.0,79,760,26740,0,0,0
5551,12600000000,0,100.0,79,766,27007,0,4,4
5554,180000000000,0,876.0,79,771,27172,0,0,0
5549,8300000000,0,100.0,79,776,27430,0,5,5
5559,42000000000,0,120.0,79,770,27139,0,0,0
5569,180000000000,0,876.0,79,771,27172,0,0,0
5606,20200000000,0,180.0,79,776,27415,0,7,7
5676,6500000000,0,75.0,79,761,26788,0,6,5
5695,55000000000,0,225.0,79,765,26920,0,7,7
5696,71000000000,0,1560.0,79,776,27427,0,6,3
5700,5000000000,0,40.0,79,767,27031,0,2,2
5701,2050000000,0,59.0,79,766,26974,0,3,3
5910,33000000000,0,1051.0,79,783,27496,0,0,0
5802,7200000000,0,100.0,79,767,27025,0,6,5
5811,27950000000,0,207.0,79,776,27430,0,28,30
5816,7700000000,0,64.0,79,767,27019,0,4,4
5832,9200000000,0,100.0,79,767,27019,0,6,5
5897,4250000000,0,100.0,79,761,26787,0,4,3
5905,33000000000,0,2800.0,79,783,27496,0,0,0
6086,90000000000,0,10000.0,79,785,27610,0,0,0
6087,35000000000,0,1500.0,79,784,27559,0,1,1
27713,7000000000,0,88.0,79,764,26875,0,3,2
6129,84190000000,0,-1.0,79,783,27496,0,0,0
6141,2380000000,0,60.0,79,765,26905,0,0,0
6240,1810000000,0,70.0,79,764,26882,0,0,0
6241,13300000000,0,80.0,79,775,27385,0,4,3
6215,32000000000,0,237.0,79,778,27490,0,0,0
6247,6550000000,0,50.0,79,767,27019,0,6,4
6294,44500000000,0,180.0,79,770,27127,0,0,0
6297,5500000000,0,45.0,79,766,26992,0,3,3
6299,65000000000,0,209.0,79,760,26746,0,8,8
6449,62000000000,0,300.0,79,765,26920,0,0,0
6360,175000000000,0,433.0,79,760,26758,0,7,7
6364,79000000000,0,120.0,79,760,26737,0,7,7
6439,10990000000,0,95.0,79,765,26953,0,0,0
6440,55000000000,0,180.0,79,770,27139,0,0,0
6421,9500000000,0,90.0,79,775,27364,0,3,2
6424,33000000000,0,54.0,79,760,26737,0,7,7
6426,14500000000,0,80.0,79,775,27364,0,5,5
6431,55000000000,0,240.0,79,770,27139,0,6,6
6444,53000000000,0,79.0,79,760,26743,0,4,4
6445,4700000000,0,90.0,79,761,26787,0,0,0
6446,12600000000,0,100.0,79,767,27025,0,3,2
6447,4600000000,0,68.0,79,776,27430,0,0,0
6450,40000000000,0,370.0,1,268,9886,0,8,4
6490,25000000000,0,95.0,1,268,9547,0,30,31
6488,11800000000,0,170.0,79,766,26992,0,5,5
6489,11900000000,0,92.0,79,775,27358,0,6,6
6491,37000000000,0,102.0,1,268,9542,0,7,5
6493,26500000000,0,100.0,1,268,9542,0,4,4
33562,10000000000,0,153.0,79,786,27643,0,0,0
9180,4500000000,0,32.0,1,268,9547,0,0,0
9182,11500000000,0,44.0,1,268,9547,0,4,2
8906,25000000000,0,126.0,79,778,27490,0,4,4
7567,89000000000,0,198.0,79,760,26737,0,8,8
8200,61000000000,0,282.0,79,770,27136,0,9,9
7632,60000000000,0,90.0,79,760,26743,0,3,3
7507,40000000000,0,280.0,79,765,26920,0,3,2
7522,149999000000,0,200.0,79,770,27139,0,7,7
9194,6700000000,0,42.0,1,268,9547,0,4,3
7862,25000000000,0,126.0,79,778,27490,0,4,4
