,price,area,province,district,ward,floor,bedroom,toilet
14524,6700000000,106.0,79,778,27490,0,3,2
14525,2300000000,60.0,79,765,26920,0,3,3
14526,5700000000,54.0,79,764,26899,0,3,3
14527,5000000000,35.0,79,764,26897,0,3,3
14530,10200000000,300.0,79,786,27643,0,4,5
14532,6100000000,88.0,79,765,26950,0,2,2
14534,6700000000,90.0,79,765,26905,0,2,3
14535,7300000000,68.0,79,764,26876,0,4,4
14536,9900000000,214.0,79,767,27040,0,10,10
14538,1600000000,120.0,79,772,27217,0,3,2
14539,14700000000,380.0,79,775,27364,0,6,6
14544,6800000000,174.0,79,764,26882,0,5,4
14545,6700000000,57.0,79,764,26884,0,4,5
14546,1600000000,74.0,79,761,26791,0,2,2
14547,11100000000,50.0,79,778,27490,0,3,2
14548,6300000000,52.0,79,764,26897,0,4,4
14549,6900000000,52.0,79,764,26898,0,5,4
14550,3500000000,96.0,79,786,27643,0,0,0
14551,6200000000,150.0,79,786,27643,0,4,5
14552,8300000000,75.0,79,767,27025,0,4,3
14553,7300000000,60.0,79,764,26897,0,4,5
14556,2400000000,136.0,79,765,26920,0,3,2
14557,11600000000,279.0,79,764,26899,0,6,6
14558,9900000000,145.0,79,778,27490,0,3,2
14560,11800000000,121.0,79,778,27490,0,3,2
14561,7700000000,67.0,79,764,26899,0,4,5
14562,8300000000,57.0,79,761,26788,0,3,2
14563,2800000000,52.0,79,761,26788,0,4,4
14565,4400000000,150.0,79,786,27643,0,3,4
14566,1500000000,124.0,79,771,27178,0,3,2
14567,6800000000,171.0,79,764,26884,0,4,5
14568,9800000000,192.0,79,775,27364,0,4,5
14571,5800000000,60.0,79,764,26884,0,3,2
14573,11800000000,123.0,79,778,27490,0,3,2
14574,3200000000,50.0,79,767,27010,0,2,3
14575,1800000000,80.0,79,785,27637,0,2,2
14579,5300000000,67.0,79,764,26882,0,0,0
14581,5000000000,100.0,79,764,26884,0,4,2
14583,9000000000,250.0,79,778,27472,0,4,4
