id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
80515,2010000000,0,70.0,79,771,27169,0,2,2
80517,1605000000,0,65.0,79,765,26956,0,2,2
80518,2920000000,0,1.0,79,765,26956,0,2,2
80519,3715000000,0,114.0,79,765,26956,0,3,2
80521,2860000000,0,-1.0,79,764,26881,0,4,4
80522,2105000000,0,68.0,79,778,27472,0,2,2
80628,1380000000,0,83.0,79,775,27364,0,2,2
